age;job;marital;education;default;housing;loan;month;day_of_week;campaign;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;y
56;housemaid;married;basic.4y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;services;married;high.school;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
37;services;married;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
40;admin.;married;basic.6y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
56;services;married;high.school;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
45;services;married;basic.9y;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
59;admin.;married;professional.course;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;blue-collar;married;;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
24;technician;single;professional.course;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
25;services;single;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;blue-collar;married;;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
25;services;single;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
29;blue-collar;single;high.school;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;housemaid;divorced;basic.4y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;blue-collar;married;basic.6y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;retired;married;basic.9y;;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;blue-collar;married;basic.6y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
46;blue-collar;married;basic.6y;;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
50;blue-collar;married;basic.9y;no;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
39;management;single;basic.9y;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
30;unemployed;married;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;blue-collar;married;basic.4y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;retired;single;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;technician;single;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
37;admin.;married;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;technician;married;university.degree;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
59;technician;married;;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
39;self-employed;married;basic.9y;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;technician;single;university.degree;;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;;married;university.degree;;;;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
46;admin.;married;;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
59;technician;married;;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
49;blue-collar;married;;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;management;married;basic.4y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;blue-collar;divorced;basic.4y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;;married;basic.4y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
34;services;married;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
52;technician;married;basic.9y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;admin.;married;university.degree;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
56;technician;married;basic.4y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
58;management;;university.degree;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
32;entrepreneur;married;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
38;admin.;single;professional.course;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;admin.;married;university.degree;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
44;admin.;married;university.degree;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;technician;single;professional.course;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;admin.;married;university.degree;no;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
40;blue-collar;married;basic.9y;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;admin.;married;university.degree;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
45;blue-collar;married;basic.9y;no;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;admin.;married;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
39;housemaid;married;basic.4y;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
60;admin.;married;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
53;admin.;single;professional.course;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;blue-collar;married;basic.4y;;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;technician;married;professional.course;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
50;management;married;university.degree;;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
45;services;married;high.school;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;unemployed;married;professional.course;;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
25;technician;single;university.degree;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
47;entrepreneur;married;university.degree;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
51;blue-collar;married;basic.9y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;blue-collar;married;basic.6y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;blue-collar;married;basic.6y;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
48;admin.;married;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
37;admin.;married;university.degree;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
44;blue-collar;single;basic.9y;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
33;admin.;married;;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
56;admin.;married;basic.9y;no;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
44;blue-collar;single;basic.4y;;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;management;married;basic.6y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
44;management;divorced;university.degree;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
47;admin.;married;university.degree;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;;married;;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
37;admin.;married;university.degree;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;blue-collar;divorced;basic.4y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;yes
55;technician;married;university.degree;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
33;services;married;high.school;;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;management;married;;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;blue-collar;married;basic.9y;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
50;blue-collar;married;basic.4y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
51;blue-collar;married;basic.4y;;;;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
38;admin.;married;high.school;;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
49;entrepreneur;married;university.degree;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;yes
38;technician;single;university.degree;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
31;admin.;divorced;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
41;management;married;basic.6y;no;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
39;admin.;married;university.degree;no;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
49;technician;married;basic.9y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;yes
34;admin.;married;high.school;no;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;admin.;married;university.degree;no;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;;married;;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
60;admin.;married;;;no;yes;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
33;unemployed;married;basic.9y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;blue-collar;married;basic.6y;no;no;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
45;services;married;professional.course;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;management;married;university.degree;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
53;admin.;divorced;university.degree;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
37;technician;single;professional.course;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
44;blue-collar;married;basic.6y;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;services;married;;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
49;blue-collar;married;basic.4y;no;no;no;may;mon;3;0;nonexistent;1.1;93.994;-36.4;4.857;no
54;services;married;;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
52;admin.;divorced;university.degree;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
52;admin.;divorced;university.degree;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
43;services;single;high.school;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
34;housemaid;married;basic.6y;no;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;admin.;married;high.school;no;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
42;entrepreneur;married;;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
43;technician;married;;;yes;yes;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
60;retired;divorced;university.degree;;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
58;unemployed;married;basic.4y;;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
35;services;divorced;high.school;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
55;blue-collar;married;basic.9y;;yes;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
37;management;married;university.degree;no;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
36;blue-collar;married;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
52;admin.;divorced;university.degree;no;no;no;may;mon;2;0;nonexistent;1.1;93.994;-36.4;4.857;no
57;blue-collar;divorced;;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
56;admin.;married;;no;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
48;blue-collar;divorced;basic.4y;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
40;blue-collar;married;high.school;;yes;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
49;blue-collar;divorced;high.school;no;no;no;may;mon;1;0;nonexistent;1.1;93.994;-36.4;4.857;no
